2025-07-19 03:19:02 | INFO     | root                           | setup_logging        | 107  | Логирование настроено. Уровень: INFO
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 38   | 🚀 Запуск Telegram Payment Bot...
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 47   | 🗄️ Инициализация базы данных...
2025-07-19 03:19:02 | INFO     | database.database              | init_database        | 102  | База данных инициализирована успешно
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 49   | ✅ База данных инициализирована
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 52   | 🤖 Создание бота...
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 58   | ✅ Telegram сервис инициализирован
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 61   | 📋 Регистрация обработчиков...
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 63   | ✅ Обработчики зарегистрированы
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 77   | ⚠️ Планировщик задач отключен в тестовом режиме
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 88   | ⚠️ Webhook сервер отключен в тестовом режиме
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 93   | ✅ Бот запущен: @paymentbotmacana_bot (Payment Bot)
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 99   | ✅ Канал найден: after payment channel
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 103  | ✅ Бот имеет права администратора в канале
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 116  | 🧪 ТЕСТОВЫЙ РЕЖИМ: ЮKassa не настроена
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 117  | 💡 Платежи будут имитироваться автоматически
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 122  | 🔄 Начало поллинга...
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 123  | ==================================================
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 124  | 🎉 БОТ УСПЕШНО ЗАПУЩЕН!
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 125  | 📱 Напишите боту /start для тестирования
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 127  | 🧪 Режим: ТЕСТОВЫЙ (платежи имитируются)
2025-07-19 03:19:02 | INFO     | __main__                       | main                 | 128  | ==================================================
2025-07-19 03:19:03 | INFO     | database.database              | save_user            | 152  | Пользователь 1240742785 сохранен
2025-07-19 03:19:03 | ERROR    | services.notification_service  | send_welcome_message | 41   | Ошибка отправки приветствия пользователю 1240742785: 'NoneType' object has no attribute 'send_message'
2025-07-19 03:19:03 | INFO     | bot.handlers.start             | start_command        | 36   | Пользователь 1240742785 (101) использовал команду /start
2025-07-19 03:19:12 | INFO     | database.database              | save_user            | 152  | Пользователь 1240742785 сохранен
2025-07-19 03:19:12 | ERROR    | services.notification_service  | send_welcome_message | 41   | Ошибка отправки приветствия пользователю 1240742785: 'NoneType' object has no attribute 'send_message'
2025-07-19 03:19:12 | INFO     | bot.handlers.start             | start_command        | 36   | Пользователь 1240742785 (101) использовал команду /start
2025-07-19 03:19:19 | INFO     | database.database              | save_user            | 152  | Пользователь 1240742785 сохранен
2025-07-19 03:19:19 | ERROR    | services.notification_service  | send_welcome_message | 41   | Ошибка отправки приветствия пользователю 1240742785: 'NoneType' object has no attribute 'send_message'
2025-07-19 03:19:19 | INFO     | bot.handlers.start             | start_command        | 36   | Пользователь 1240742785 (101) использовал команду /start
2025-07-19 03:22:20 | WARNING  | aiogram.dispatcher             | _signal_stop_polling | 455  | Received SIGINT signal
2025-07-19 03:22:20 | INFO     | __main__                       | main                 | 140  | 🛑 Завершение работы бота...
